,Compound,Date,Negative,Neutral,News Outlet,Positive,Source Account,Tweets Ago,Tweets Text
49,0.3612,Sat Apr 28 23:13:01 +0000 2018,0.872,0.0,@CNN,0.128,CNN,50,White House press secretary Sarah Sanders says President Trump encouraged his staff to attend this year's correspon… https://t.co/fWR05TuG2G
50,0.4939,Sat Apr 28 23:00:06 +0000 2018,0.814,0.0,@CNN,0.186,CNN,51,"Seattle Seahawks draft a player with one hand, the first in modern NFL history https://t.co/GGyUneemM8 https://t.co/nAmkAvcQxk"
51,0.0,Sat Apr 28 22:56:00 +0000 2018,1.0,0.0,@CNN,0.0,CNN,52,"CNN's Brian Stelter says dozens of White House officals attending the Correspondents' Dinner ""shows how hollow the… https://t.co/vXjozorGTz"
52,0.3182,Sat Apr 28 22:49:03 +0000 2018,0.858,0.0,@CNN,0.142,CNN,53,Jean-Eric Vergne claims an emotional victory in his home city of Paris to extend his title lead in the Formula E ch… https://t.co/7vfgtWkPil
53,0.0,Sat Apr 28 22:42:57 +0000 2018,1.0,0.0,@CNN,0.0,CNN,54,CNN's Dianne Gallagher reports that a big crowd of people is lined up waiting to attend a Trump rally in Michigan.… https://t.co/vcf8G8SyvL
54,0.0,Sat Apr 28 22:34:05 +0000 2018,1.0,0.0,@CNN,0.0,CNN,55,Largest child sacrifice in history discovered in Peru https://t.co/F6JCXFLqga https://t.co/AMp8qB0w9A
55,0.0,Sat Apr 28 22:27:00 +0000 2018,1.0,0.0,@CNN,0.0,CNN,56,"""The President is known to go in all sorts of directions at these rallies. ... he's among his supporters."" CNN's Bo… https://t.co/KiBd3ij56I"
56,-0.296,Sat Apr 28 22:20:08 +0000 2018,0.855,0.145,@CNN,0.0,CNN,57,Democrats need to stop believing this myth about Trump's base https://t.co/9pnZ8nW2te (via @CNNOpinion) https://t.co/8TYAwvpJWs
57,0.0,Sat Apr 28 22:13:12 +0000 2018,1.0,0.0,@CNN,0.0,CNN,58,Former White House press secretary Sean Spicer arrives on the red carpet of the White House Correspondents' Dinner.… https://t.co/Y26NWl3MDj
58,0.4939,Sat Apr 28 22:00:03 +0000 2018,0.802,0.0,@CNN,0.198,CNN,59,Alfie's Army rallies behind his family and releases balloons in his honor https://t.co/S2lrmgGwDq https://t.co/wgwohD5XZT
59,-0.743,Sat Apr 28 21:45:06 +0000 2018,0.597,0.333,@CNN,0.07,CNN,60,"Thousands protest after men are cleared of rape in Spain's ""wolf pack"" case https://t.co/pk0Lcaa4WV https://t.co/3xdwBoqpPe"
60,0.5574,Sat Apr 28 21:30:08 +0000 2018,0.526,0.142,@CNN,0.332,CNN,61,Joy Reid apologizes and says experts haven't proven she was hacked https://t.co/AuWUmc769z https://t.co/fKTdJtR6yp
61,0.0,Sat Apr 28 21:15:07 +0000 2018,1.0,0.0,@CNN,0.0,CNN,62,"British supermarket chain Sainsbury's in ""advanced"" merger talks with Walmart's Asda https://t.co/qFGHFsnda1 https://t.co/kk8MNJm212"
62,0.0,Sat Apr 28 21:00:08 +0000 2018,1.0,0.0,@CNN,0.0,CNN,63,President Trump to skip White House Correspondents' Dinner for Michigan rally https://t.co/PcCNRpqnGh https://t.co/OgmRtq8l80
63,0.0,Sat Apr 28 20:45:03 +0000 2018,1.0,0.0,@CNN,0.0,CNN,64,"President Trump may have just had a breakthrough, writes Frida Ghitis for @CNNOpinion https://t.co/eXXqkgZ1jr https://t.co/odHr6m14yU"
64,0.0,Sat Apr 28 20:30:05 +0000 2018,1.0,0.0,@CNN,0.0,CNN,65,What to expect at the White House Correspondents' dinner https://t.co/7cpfigUXYM https://t.co/rAzCEqJOu7
65,0.5859,Sat Apr 28 20:15:05 +0000 2018,0.625,0.0,@CNN,0.375,CNN,66,Veterans' grass-roots movement shares health benefits of marijuana https://t.co/ASR2JEfHXL https://t.co/g2obaa6tAS
66,0.5267,Sat Apr 28 20:00:10 +0000 2018,0.726,0.0,@CNN,0.274,CNN,67,"North Korean state media praises ""historic"" Kim-Moon summit https://t.co/yoEiSPqb7J https://t.co/vAkN23ucHn"
67,0.7506,Sat Apr 28 19:45:06 +0000 2018,0.714,0.0,@CNN,0.286,CNN,68,South Koreans dare to hope of once unthinkable peace with North Korean leader Kim Jong Un https://t.co/IQZjkgkyFd https://t.co/Yf0AtCoWZw
68,0.0,Sat Apr 28 19:30:14 +0000 2018,1.0,0.0,@CNN,0.0,CNN,69,"Texas voter ID law can go into effect, appeals court panel rules https://t.co/KUMDKOEA0I https://t.co/HO460OF9o4"
